รหัสล็อค,ประเภท,สี,หมายเหตุ
A911,อาหาร 3x3,ฟ้า-A9,แถวพิเศษเต็มแถว
A912,อาหาร 3x3,ฟ้า-A9,แถวพิเศษเต็มแถว
A913,อาหาร 3x3,ฟ้า-A9,แถวพิเศษเต็มแถว
A914,อาหาร 3x3,ฟ้า-A9,แถวพิเศษเต็มแถว
A915,อาหาร 3x3,ฟ้า-A9,แถวพิเศษเต็มแถว
A916,อาหาร 3x3,ฟ้า-A9,แถวพิเศษเต็มแถว
A917,อาหาร 3x3,ฟ้า-A9,แถวพิเศษเต็มแถว
A918,อาหาร 3x3,ฟ้า-A9,แถวพิเศษเต็มแถว
A919,อาหาร 3x3,ฟ้า-A9,แถวพิเศษเต็มแถว
A920,อาหาร 3x3,ฟ้า-A9,แถวพิเศษเต็มแถว
A921,อาหาร 3x3,ฟ้า-A9,แถวพิเศษเต็มแถว
A822,แฟชั่น 3x3,ฟ้า,มุมล่างสุด
A823,แฟชั่น 3x3,ชมพู,มุมล่างสุด
A922,อาหาร 3x3,ฟ้า,มุมล่างสุด
A923,อาหาร 3x3,ชมพู,มุมล่างสุด
F101,อาหาร 2x2,ฟ้า,มุมบน
F102,อาหาร 2x2,ฟ้า,มุมบน
F201,อาหาร 2x2,ฟ้า,มุมบน
F202,อาหาร 2x2,ฟ้า,มุมบน
F116,อาหาร 2x2,ฟ้า,มุมล่างก่อนพื้นที่นั่งทาน
F216,อาหาร 2x2,ฟ้า,มุมล่างก่อนพื้นที่นั่งทาน
F117,อาหาร 2x2,เหลือง,มุมล่างก่อนพื้นที่นั่งทาน
F217,อาหาร 2x2,เหลือง,มุมล่างก่อนพื้นที่นั่งทาน
F301,อาหาร 2x2,ชมพู,มุมบน
F302,อาหาร 2x2,ฟ้า,มุมบน
F401,อาหาร 2x2,ชมพู,มุมบน
F402,อาหาร 2x2,ฟ้า,มุมบน
F320,อาหาร 2x2,เหลือง,แถวพิเศษเต็มแถว
F321,อาหาร 2x2,เหลือง,แถวพิเศษเต็มแถว
F322,อาหาร 2x2,เหลือง,แถวพิเศษเต็มแถว
F323,อาหาร 2x2,เหลือง,แถวพิเศษเต็มแถว
F324,อาหาร 2x2,เหลือง,แถวพิเศษเต็มแถว
F325,อาหาร 2x2,เหลือง,แถวพิเศษเต็มแถว
F326,อาหาร 2x2,เหลือง,แถวพิเศษเต็มแถว
F327,อาหาร 2x2,เหลือง,แถวพิเศษเต็มแถว
F328,อาหาร 2x2,เหลือง,แถวพิเศษเต็มแถว
F329,อาหาร 2x2,เหลือง,แถวพิเศษเต็มแถว
F330,อาหาร 2x2,เหลือง,แถวพิเศษเต็มแถว
F331,อาหาร 2x2,เหลือง,แถวพิเศษเต็มแถว
F332,อาหาร 2x2,เหลือง,แถวพิเศษเต็มแถว
F333,อาหาร 2x2,เหลือง,แถวพิเศษเต็มแถว
F334,อาหาร 2x2,เหลือง,แถวพิเศษเต็มแถว
F433,อาหาร 2x2,ฟ้า,มุมล่าง
F434,อาหาร 2x2,ชมพู,มุมล่าง
F501,อาหาร 2x2,ชมพู,มุมบน
F601,อาหาร 2x2,ชมพู,มุมบน
F502,อาหาร 2x2,ฟ้า,มุมบน
F602,อาหาร 2x2,ฟ้า,มุมบน
F535,อาหาร 2x2,ฟ้า,มุมล่าง
F635,อาหาร 2x2,ฟ้า,มุมล่าง
F636,อาหาร 2x2,ชมพู,มุมล่าง
F536,อาหาร 2x2,ชมพู,มุมล่าง
B100,อาหาร 3x3,ชมพู,มุมบน
B200,อาหาร 3x3,ไม่มี,มุมบน
B101,อาหาร 3x3,ฟ้า,มุมล่าง
B201,อาหาร 3x3,ไม่มี,ป้าย T อาหาร 2x3
B122,อาหาร 3x3,ฟ้า,มุมบน
B123,อาหาร 3x3,ชมพู,มุมบน
B222,อาหาร 3x3,ไม่มี,มุมล่าง
B223,อาหาร 3x3,ไม่มี,มุมล่าง
E101,แฟชั่น 3x3,เหลือง,แถบขอบ
E102,แฟชั่น 3x3,เหลือง,แถบขอบ
E103,แฟชั่น 3x3,เหลือง,แถบขอบ
E104,แฟชั่น 3x3,เหลือง,แถบขอบ
C101,แฟชั่น 3x3,เหลือง,แถบขอบ
C102,แฟชั่น 3x3,เหลือง,แถบขอบ
C103,แฟชั่น 3x3,เหลือง,แถบขอบ
C104,แฟชั่น 3x3,เหลือง,แถบขอบ
C105,แฟชั่น 3x3,เหลือง,แถบขอบ
C106,แฟชั่น 3x3,เหลือง,แถบขอบ
C107,แฟชั่น 3x3,เหลือง,แถบขอบ
C108,แฟชั่น 3x3,เหลือง,แถบขอบ
C109,แฟชั่น 3x3,เหลือง,แถบขอบ
C110,แฟชั่น 3x3,เหลือง,แถบขอบ
C111,แฟชั่น 3x3,เหลือง,แถบขอบ
C112,แฟชั่น 3x3,เหลือง,แถบขอบ
